scan_id,focus_x,focus_y,focus_z,condition,max_response_raw,mean_response_raw,sigma_mm,n_elements,physics_level
155,75.66,172.03500000000005,-51.79999999999998,A_PA1_to_C1,0.833415860087393,0.008310471449129662,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
156,76.91499999999999,171.47000000000003,-51.79999999999998,A_PA1_to_C1,0.7871106171190332,0.00823760744248939,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
157,78.17,170.89499999999995,-51.79999999999998,A_PA1_to_C1,0.7996320611222375,0.008136752859078621,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
158,79.41999999999999,170.30999999999997,-51.79999999999998,A_PA1_to_C1,0.8137512417233479,0.007983551559374028,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
159,80.66,169.71999999999997,-51.79999999999998,A_PA1_to_C1,0.7829847834436151,0.007983923241395368,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
160,81.89999999999998,169.115,-51.79999999999998,A_PA1_to_C1,0.7805916270335554,0.007826708355390136,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
161,83.13499999999996,168.505,-51.79999999999998,A_PA1_to_C1,0.805262806900212,0.007789197245662827,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
162,84.36499999999998,167.88499999999996,-51.79999999999998,A_PA1_to_C1,0.8412539923427285,0.007700331777216032,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
163,85.58999999999999,167.25499999999994,-51.79999999999998,A_PA1_to_C1,0.8306676190242855,0.00758184141406991,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
164,86.815,166.61999999999998,-51.79999999999998,A_PA1_to_C1,0.9708339761940629,0.00750879802457435,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
165,88.03000000000002,165.97000000000003,-51.79999999999998,A_PA1_to_C1,0.9091871106194814,0.0074641035325794716,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
166,89.24000000000001,165.31500000000003,-51.79999999999998,A_PA1_to_C1,0.9543890184210473,0.007398406107751819,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
167,90.44500000000002,164.64999999999998,-51.79999999999998,A_PA1_to_C1,0.8834359507529533,0.0073044375948014195,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
168,91.65,163.975,-51.79999999999998,A_PA1_to_C1,1.0005967515731273,0.007315390656857373,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
